pfam_id,protein_id,description,start,stop
PF00400,A0A024FTK8,WD40 repeat,88,125
PF00027,A0A024G5C5,Cyclic nucleotide-binding domain,453,541
PF02862,A0A024GFP4,DDHD domain,569,610
mobidb-lite,A0A024GGN3,disorder_prediction,100,157
mobidb-lite,A0A024GP81,disorder_prediction,170,200
CoiledCoil,A0A024R4H4,Kinesin family member 1B isoform CRA_b OS=Homo sapiens GN=KIF1B PE=3 SV=1,492,520
PF03061,A0A024RAU3,Thioesterase domain,16,87
PF00168,A0A024TDV8,C2 domain,116,233
PF01900,A0A024TG61,Ribonuclease P/MRP protein subunit,32,124
PF13359,A0A024TVP3,Harbinger transposase-derived nuclease domain,74,195
mobidb-lite,A0A024TY59,disorder_prediction,256,284
PF05653,A0A024TZ94,Magnesium transporter NIPA,14,314
mobidb-lite,A0A024U3V6,disorder_prediction,43,74
PF13516,A0A024UGI4,Leucine-rich repeat,227,238
PF13516,A0A024UR18,Leucine-rich repeat,396,414
PF05903,A0A024URB8,PPPDE putative peptidase domain,13,142
mobidb-lite,A0A024USS3,disorder_prediction,1,146
mobidb-lite,A0A024UUH1,disorder_prediction,141,461
PF00999,A0A024UVM9,Cation/H+ exchanger,38,450
PF14765,A0A026VVU8,Polyketide synthase dehydratase domain,378,570
PF12763,A0A026WA94,EH domain,130,222
PF03165,A0A026WFV9,MAD homology 1 Dwarfin-type,30,133
PF11901,A0A026WNB9,Domain of unknown function DUF3421,27,136
PF13181,A0A026WNG9,Tetratricopeptide repeat,49,80
PF11601,A0A026WNN5,Shal-type voltage-gated potassium channels N-terminal,2,29
mobidb-lite,A0A026WPD9,disorder_prediction,720,760
PF00858,A0A026WRX6,Epithelial sodium channel,30,505
PF01390,A0A026X1H8,SEA domain,196,282
mobidb-lite,A0A034V4R0,disorder_prediction,1305,1331
mobidb-lite,A0A034V4T3,disorder_prediction,805,830
mobidb-lite,A0A034V6Z1,disorder_prediction,135,186
mobidb-lite,A0A034VC96,disorder_prediction,681,719
LowComplexity,A0A034VIM2,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (Fragment) OS=Bactrocera dorsalis GN=TAF5L PE=4 SV=1,454,467
mobidb-lite,A0A034VKB0,disorder_prediction,614,648
mobidb-lite,A0A034VNJ9,disorder_prediction,75,145
mobidb-lite,A0A034VUN5,disorder_prediction,101,121
PF03455,A0A034VWU9,dDENN domain,356,394
PF00412,A0A034W0S3,Zinc finger LIM-type,180,235
PF15868,A0A034W5F9,Transcription activator MBF2,26,117
PF00412,A0A034W5K9,Zinc finger LIM-type,582,638
PF00106,A0A034WAU9,Short-chain dehydrogenase/reductase SDR,7,210
PF02770,A0A034WQH9,Acyl-CoA oxidase/dehydrogenase central domain,187,289
PF00270,A0A034WSI6,DEAD/DEAH box helicase domain,58,223
PF04420,A0A034WSM8,WRB/Get1 family,2,164
PF01391,A0A044QNI6,Collagen triple helix repeat,190,248
PF00270,A0A044S5D8,DEAD/DEAH box helicase domain,180,333
mobidb-lite,A0A044TJ01,disorder_prediction,43,119
PF03134,A0A044U3D7,TB2/DP1/HVA22-related protein,97,164
mobidb-lite,A0A044U723,disorder_prediction,27,78
PF00014,A0A044ULB2,Pancreatic trypsin inhibitor Kunitz domain,2699,2757
mobidb-lite,A0A044V9R4,disorder_prediction,270,331
mobidb-lite,A0A058Z7B5,disorder_prediction,1329,1487
PF01798,A0A058ZFD5,Nop domain,158,382
mobidb-lite,A0A058ZFY3,disorder_prediction,994,1067
PF00271,A0A058ZFZ6,Helicase C-terminal,428,564
PF01657,A0A058ZTS1,Gnk2-homologous domain,151,239
PF00293,A0A059A9P8,NUDIX hydrolase domain,77,207
PF04564,A0A059A9Z2,U box domain,275,346
PF07714,A0A059AJA1,Serine-threonine/tyrosine-protein kinase catalytic domain,40,307
LowComplexity,A0A059AJW6,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_I00112 PE=3 SV=1,5,20
PF00581,A0A059AW37,Rhodanese-like domain,194,289
PF00225,A0A059AXL7,Kinesin motor domain,391,709
mobidb-lite,A0A059B3F5,disorder_prediction,1,25
PF00083,A0A059B3W1,Major facilitator  sugar transporter-like,25,502
PF04099,A0A059B406,Trafficking protein particle complex subunit,1,56
PF00107,A0A059B8R8,Alcohol dehydrogenase C-terminal,206,334
mobidb-lite,A0A059B9A7,disorder_prediction,631,656
PF13041,A0A059BGM3,Pentatricopeptide repeat,397,446
mobidb-lite,A0A059BVJ5,disorder_prediction,1,29
PF07145,A0A059C3T6,Ataxin-2 C-terminal,99,114
PF00249,A0A059C7S0,SANT/Myb domain,72,114
mobidb-lite,A0A059CA28,disorder_prediction,668,689
LowComplexity,A0A059CFW7,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_D01628 PE=4 SV=1,49,65
PF08030,A0A059CM85,Ferric reductase NAD binding domain,725,907
CoiledCoil,A0A059CR90,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_C02137 PE=4 SV=1,288,309
PF00400,A0A059CVM0,WD40 repeat,46,82
PF01156,A0A059DCS9,Inosine/uridine-preferring nucleoside hydrolase domain,127,276
PF00400,A0A059LEX5,WD40 repeat,239,271
mobidb-lite,A0A059LM88,disorder_prediction,28,47
PF00483,A0A059LS38,Nucleotidyl transferase domain,73,348
PF00116,A0A059RNF8,Cytochrome c oxidase subunit II-like C-terminal,96,213
PF00016,A0A059SGF3,Ribulose bisphosphate carboxylase large subunit C-terminal,140,179
PF00638,A0A059TEQ8,Ran binding domain,23,143
PF00989,A0A059UBB6,PAS fold,621,735
PF05198,A0A060A4R4,Translation initiation factor 3 N-terminal,12,80
PF00071,A0A060CI57,Small GTPase superfamily,1,65
PF06200,A0A060D890,Tify domain,73,105
mobidb-lite,A0A060MZU1,disorder_prediction,135,258
PF15445,A0A060RMK0,Plasmodium falciparum erythrocyte membrane protein 1 acidic terminal segment,2,185
PF01168,A0A060SAT1,Alanine racemase N-terminal,51,236
LowComplexity,A0A060SUK3,Uncharacterized protein OS=Pycnoporus cinnabarinus GN=BN946_scf184533.g4 PE=4 SV=1,181,196
PF00435,A0A060SVF5,Spectrin repeat,145,247
PF01535,A0A060SW87,Pentatricopeptide repeat,504,532
PF07690,A0A060T1K0,Major facilitator superfamily,67,442
PF14863,A0A060T2R1,Alkyl sulfatase dimerisation domain,364,500
mobidb-lite,A0A060T2Y8,disorder_prediction,1,25
PF01588,A0A060T350,tRNA-binding domain,52,145
PF00153,A0A060T8F8,Mitochondrial substrate/solute carrier,104,192
CoiledCoil,A0A060TBU6,ARAD1D37598p OS=Blastobotrys adeninivorans GN=GNLVRS02_ARAD1D37598g PE=4 SV=1,71,99
PF00400,A0A060TD51,WD40 repeat,89,122
PF06522,A0A060VMI6,NADH-ubiquinone reductase complex 1 MLRQ subunit,11,42
PF08159,A0A060VMM3,NUC153,1,21
mobidb-lite,A0A060VNR9,disorder_prediction,540,585
mobidb-lite,A0A060VQV4,disorder_prediction,732,751
PF00069,A0A060VUX7,Protein kinase domain,350,594
PF10590,A0A060VZA3,Pyridoxine 5'-phosphate oxidase dimerisation C-terminal,210,264
PF00307,A0A060WCP3,Calponin homology domain,577,677
PF04193,A0A060WCT3,PQ-loop repeat,269,326
PF05236,A0A060WDG2,Transcription initiation factor TFIID component TAF4,746,943
PF00788,A0A060WEZ2,Ras-associating (RA) domain,3,84
PF00051,A0A060WHF0,Kringle,190,267
PF01007,A0A060WHN7,Potassium channel inwardly rectifying Kir,50,375
LowComplexity,A0A060WHT4,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00071901001 PE=4 SV=1,119,137
PF00520,A0A060WLT2,Ion transport domain,42,296
PF06297,A0A060WP35,PET domain,196,280
PF02996,A0A060WP50,Prefoldin alpha-like,20,124
mobidb-lite,A0A060WTG6,disorder_prediction,108,186
PF16198,A0A060WUI4,tRNA pseudouridylate synthase B C-terminal,241,307
PF00090,A0A060WWN2,Thrombospondin type-1 (TSP1) repeat,133,179
mobidb-lite,A0A060WY66,disorder_prediction,288,318
PF04419,A0A060WYQ2,Uncharacterised protein family SERF,37,73
PF00071,A0A060X1X3,Small GTPase superfamily,1,54
PF00595,A0A060X4A4,PDZ domain,274,349
PF00530,A0A060X4J1,SRCR domain,562,659
PF00643,A0A060X9B2,B-box-type zinc finger,99,136
PF01198,A0A060XGD5,Ribosomal protein L31e,19,100
PF00868,A0A060XI11,Transglutaminase N-terminal,5,119
PF08347,A0A060XI43,CTNNB1 binding N-teminal,41,110
PF01612,A0A060XT97,3'-5' exonuclease domain,60,130
PF02852,A0A060XUV9,Pyridine nucleotide-disulphide oxidoreductase dimerisation domain,474,586
LowComplexity,A0A060XYP2,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00013600001 PE=4 SV=1,111,138
PF01595,A0A060Y4E7,Domain of unknown function DUF21,185,356
PF00084,A0A060YBS8,Sushi/SCR/CCP domain,319,370
mobidb-lite,A0A060YDZ6,disorder_prediction,352,400
PF00067,A0A060YK20,Cytochrome P450,132,362
PF00629,A0A060YNC9,MAM domain,42,226
PF00071,A0A060YXD5,Small GTPase superfamily,5,164
PF00788,A0A060ZAP5,Ras-associating (RA) domain,27,118
PF00766,A0A061AGX3,Electron transfer flavoprotein alpha subunit C-terminal,212,295
PF10294,A0A061AL27,Lysine methyltransferase,122,208
PF09445,A0A061ASU1,RNA cap guanine-N2 methyltransferase,89,253
PF00153,A0A061AV91,Mitochondrial substrate/solute carrier,197,295
PF03647,A0A061AX94,TMEM14 family,3,96
PF00135,A0A061B314,Carboxylesterase type B,22,491
mobidb-lite,A0A061B643,disorder_prediction,25,49
mobidb-lite,A0A061B911,disorder_prediction,38,63
PF00557,A0A061BCS9,Peptidase M24,160,390
mobidb-lite,A0A061BD61,disorder_prediction,658,721
PF00186,A0A061BDZ2,Dihydrofolate reductase domain,10,133
PF01184,A0A061BH09,Acetate transporter GPR1/FUN34/SatP family,26,205
mobidb-lite,A0A061BHS4,disorder_prediction,488,615
mobidb-lite,A0A061BIB9,disorder_prediction,933,967
PF12937,A0A061BM38,F-box domain,185,230
mobidb-lite,A0A061D4Q7,disorder_prediction,1,39
mobidb-lite,A0A061D6D3,disorder_prediction,1,194
mobidb-lite,A0A061DPX0,disorder_prediction,580,603
mobidb-lite,A0A061DXX3,disorder_prediction,90,149
PF01582,A0A061E5I4,Toll/interleukin-1 receptor homology (TIR) domain,19,184
LowComplexity,A0A061EKX6,LEUNIG_homolog isoform 2 (Fragment) OS=Theobroma cacao GN=TCM_020345 PE=4 SV=1,65,77
PF00005,A0A061EQE5,ABC transporter-like,189,373
PF00582,A0A061EXY6,UspA,2,164
mobidb-lite,A0A061EZ03,disorder_prediction,427,451
PF01193,A0A061F4K9,DNA-directed RNA polymerase RpoA/D/Rpb3-type,138,262
CoiledCoil,A0A061F9N3,p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Theobroma cacao GN=TCM_026435 PE=3 SV=1,440,468
PF00107,A0A061FET4,Alcohol dehydrogenase C-terminal,213,335
CoiledCoil,A0A061FHC4,F-box and Leucine Rich Repeat domains containing protein putative isoform 4 OS=Theobroma cacao GN=TCM_034979 PE=4 SV=1,564,585
PF03140,A0A061FIC6,Protein of unknown function DUF247 plant,51,399
PF00931,A0A061FKZ8,NB-ARC,1065,1353
PF00433,A0A061FSD3,Protein kinase C-terminal,437,473
PF01422,A0A061FV50,Zinc finger NF-X1-type,222,237
PF02466,A0A061FV74,Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24,22,152
PF13855,A0A061G7M5,Leucine-rich repeat,537,594
PF00481,A0A061G8V6,PPM-type phosphatase domain,96,334
PF05199,A0A061G9B1,Glucose-methanol-choline oxidoreductase C-terminal,399,539
mobidb-lite,A0A061GBF6,disorder_prediction,74,95
PF00560,A0A061GEF8,Leucine-rich repeat,476,498
mobidb-lite,A0A061GIR3,disorder_prediction,1,22
PF04051,A0A061GJ69,Transport protein particle (TRAPP) component,30,182
mobidb-lite,A0A061GKL1,disorder_prediction,605,738
mobidb-lite,A0A061GNB3,disorder_prediction,319,349
PF14226,A0A061GQ14,Non-haem dioxygenase N-terminal domain,411,517
PF13520,A0A061GS33,Amino acid/polyamine transporter I,66,446
mobidb-lite,A0A061GWZ3,disorder_prediction,197,248
PF00621,A0A061HTE0,Dbl homology (DH) domain,1,180
PF00630,A0A061HUL1,Filamin/ABP280 repeat-like,2238,2321
PF00632,A0A061HV17,HECT domain,4035,4339
PF02881,A0A061I014,Signal recognition particle SRP54 subunit helical bundle,6,83
PF02149,A0A061I034,Kinase associated domain 1 (KA1),708,750
PF01582,A0A061I2B2,Toll/interleukin-1 receptor homology (TIR) domain,737,898
PF04727,A0A061IAE1,ELMO domain,292,468
mobidb-lite,A0A061IB93,disorder_prediction,1,36
PF01753,A0A061IDS8,Zinc finger MYND-type,476,503
mobidb-lite,A0A061IHJ9,disorder_prediction,367,387
PF00400,A0A061IJQ1,WD40 repeat,125,161
PF02891,A0A061IMB3,Zinc finger MIZ-type,564,612
CoiledCoil,A0A061IP63,Macrophage scavenger receptor types I and II OS=Cricetulus griseus GN=H671_1g2317 PE=4 SV=1,245,266
mobidb-lite,A0A061QLK9,disorder_prediction,1249,1274
mobidb-lite,A0A061QUT3,disorder_prediction,493,550
PF00118,A0A061RFH3,Chaperonin Cpn60/TCP-1 family,25,99
mobidb-lite,A0A061RM56,disorder_prediction,112,207
PF00685,A0A061RVB2,Sulfotransferase domain,45,213
PF07717,A0A061RXB0,Domain of unknown function DUF1605,1042,1133
PF00465,A0A061S8M4,Alcohol dehydrogenase iron-type,380,771
mobidb-lite,A0A061SB02,disorder_prediction,383,408
PF04755,A0A061SGE8,Plastid lipid-associated protein/fibrillin conserved domain,1310,1525
mobidb-lite,A0A061SH24,disorder_prediction,144,214
PF01813,A0A061SN67,ATPase V1 complex subunit D,16,209
PF01231,A0A063C3W4,Indoleamine 23-dioxygenase,191,599
PF00071,A0A063C8X1,Small GTPase superfamily,36,183
PF00888,A0A063CBL9,Cullin N-terminal,2911,3550
PF06814,A0A063CC32,Lung seven transmembrane receptor-like,145,433
mobidb-lite,A0A066X4Z8,disorder_prediction,463,494
PF01040,A0A066X7L3,UbiA prenyltransferase family,118,372
PF03184,A0A066XBR1,DDE superfamily endonuclease domain,202,370
PF01061,A0A066XFV6,ABC-2 type transporter,1131,1338
PF00106,A0A066XIL3,Short-chain dehydrogenase/reductase SDR,316,496
PF13041,A0A067DFS1,Pentatricopeptide repeat,245,292
PF08100,A0A067DI87,Plant methyltransferase dimerisation,1,41
PF08774,A0A067DIZ3,VRR-NUC domain,775,841
PF08389,A0A067DJF1,Exportin-1/Importin-beta-like,15,158
PF01535,A0A067DK06,Pentatricopeptide repeat,196,216
PF01535,A0A067DL66,Pentatricopeptide repeat,53,82
PF00612,A0A067DLT9,IQ motif EF-hand binding site,737,755
PF05553,A0A067E1Z2,Protein of unknown function DUF761 plant,55,70
PF13952,A0A067E2Y2,Domain of unknown function DUF4216,84,151
PF00400,A0A067EP44,WD40 repeat,227,262
PF08263,A0A067F4U9,Leucine-rich repeat-containing N-terminal plant-type,8,40
PF04083,A0A067FAV5,Partial AB-hydrolase lipase domain,257,311
mobidb-lite,A0A067FDU5,disorder_prediction,1,68
PF03109,A0A067FIJ9,UbiB domain,4,99
PF01490,A0A067FKU9,Amino acid transporter transmembrane domain,159,391
mobidb-lite,A0A067FQ94,disorder_prediction,336,420
PF09532,A0A067FYB6,FDF domain,357,457
mobidb-lite,A0A067G5X0,disorder_prediction,3305,3461
PF00719,A0A067G6A9,Inorganic pyrophosphatase,53,173
PF02005,A0A067G9W9,tRNA methyltransferase Trm1,11,468
PF09139,A0A067GF16,Mitochondrial matrix Mmp37,41,355
PF03619,A0A067GFU1,Organic solute transporter subunit alpha/Transmembrane protein 184,8,166
mobidb-lite,A0A067GPH1,disorder_prediction,127,191
mobidb-lite,A0A067H7Y6,disorder_prediction,34,53
mobidb-lite,A0A067JBM6,disorder_prediction,310,380
PF00240,A0A067JQG5,Ubiquitin domain,79,150
PF00989,A0A067JVA7,PAS fold,768,887
PF00612,A0A067K3M0,IQ motif EF-hand binding site,56,75
mobidb-lite,A0A067K602,disorder_prediction,1,50
PF01535,A0A067KKT6,Pentatricopeptide repeat,149,175
PF13855,A0A067KR17,Leucine-rich repeat,559,617
mobidb-lite,A0A067KUK4,disorder_prediction,141,208
PF00847,A0A067LB40,AP2/ERF domain,19,69
mobidb-lite,A0A067QN46,disorder_prediction,1,157
mobidb-lite,A0A067QT63,disorder_prediction,218,257
PF01344,A0A067QV25,Kelch repeat type 1,401,445
PF02437,A0A067R2T3,Transforming protein Ski,71,178
mobidb-lite,A0A067R6R8,disorder_prediction,104,225
PF00595,A0A067R7W8,PDZ domain,41,105
PF15391,A0A067RBH5,Domain of unknown function DUF4614,60,241
mobidb-lite,A0A067RF88,disorder_prediction,548,567
mobidb-lite,A0A067RFV2,disorder_prediction,189,221
PF16086,A0A067RMA2,Protein of unknown function DUF4816,602,630
mobidb-lite,A0A067RWI8,disorder_prediction,684,720
PF01824,A0A067XQH9,Maturase MatK N-terminal domain,1,334
PF04563,A0A067YIW5,RNA polymerase beta subunit protrusion,6,53
PF06444,A0A067YZZ3,NADH dehydrogenase subunit 2 C-terminal,290,343
PF13833,A0A067Z7S9,EF-hand domain,5,46
PF00060,A0A068FBN5,Ionotropic glutamate receptor,357,628
PF01535,A0A068TRC5,Pentatricopeptide repeat,494,517
CoiledCoil,A0A068TUV7,Uncharacterized protein OS=Coffea canephora GN=GSCOC_T00029511001 PE=4 SV=1,442,463
PF04667,A0A068TVS9,Endosulphine,50,120
PF00847,A0A068TXJ1,AP2/ERF domain,124,172
mobidb-lite,A0A068U1C8,disorder_prediction,453,492
PF00076,A0A068U4G0,RNA recognition motif domain,94,152
mobidb-lite,A0A068U6Z6,disorder_prediction,62,90
mobidb-lite,A0A068UCW3,disorder_prediction,161,210
PF07765,A0A068UF69,Protein Networked (NET) actin-binding (NAB) domain,14,87
PF00933,A0A068UQJ2,Glycoside hydrolase family 3 N-terminal,37,241
PF00076,A0A068URS7,RNA recognition motif domain,15,89
mobidb-lite,A0A068USH8,disorder_prediction,1,24
mobidb-lite,A0A068UUZ0,disorder_prediction,297,358
PF00005,A0A068UZQ0,ABC transporter-like,102,252
mobidb-lite,A0A068V3V9,disorder_prediction,1,38
PF00664,A0A068VJF7,ABC transporter type 1 transmembrane domain,2,193
PF07714,A0A068VJK0,Serine-threonine/tyrosine-protein kinase catalytic domain,73,343
PF00931,A0A068VK84,NB-ARC,168,448
mobidb-lite,A0A068WF44,disorder_prediction,295,327
PF02290,A0A068WGF6,Signal recognition particle SRP14 subunit,3,96
PF03901,A0A068WNM9,GPI mannosyltransferase,12,427
PF13889,A0A068WS33,Protein FAM214/SPAC3H8.04 C-terminal,629,685
mobidb-lite,A0A068WX54,disorder_prediction,474,517
mobidb-lite,A0A068WY63,disorder_prediction,801,826
PF00571,A0A068X4F1,CBS domain,366,417
mobidb-lite,A0A068X732,disorder_prediction,1420,1443
mobidb-lite,A0A068X8F4,disorder_prediction,355,399
mobidb-lite,A0A068XKF6,disorder_prediction,1,31
PF00028,A0A068XMJ4,Cadherin,306,398
PF04560,A0A068XS64,RNA polymerase Rpb2 domain 7,1066,1185
PF00155,A0A068Y1F4,Aminotransferase class I/classII,165,509
mobidb-lite,A0A068Y4E0,disorder_prediction,215,235
mobidb-lite,A0A068YCR0,disorder_prediction,1225,1304
mobidb-lite,A0A069DZ75,disorder_prediction,1,25
PF00373,A0A069DZS6,FERM central domain,93,203
PF00016,A0A072TKG8,Ribulose bisphosphate carboxylase large subunit C-terminal,154,462
PF02095,A0A072UTM8,Repetitive proline-rich cell wall protein repeat,98,103
PF00497,A0A072V2Y3,Solute-binding protein  family 3/N-terminal domain of MltF,489,754
PF07899,A0A072VCB2,Frigida-like,456,588
mobidb-lite,A0A072VCB7,disorder_prediction,61,94
PF06507,A0A072VD00,Auxin response factor,177,259
PF07714,A0A072VEN8,Serine-threonine/tyrosine-protein kinase catalytic domain,360,625
PF16488,A0A072VIQ7,Argonaute linker 2 domain,91,135
PF01846,A0A072VPD9,FF domain,489,538
PF03357,A0A072VWM9,Snf7 family,481,649
mobidb-lite,A0A074SVP7,disorder_prediction,360,396
mobidb-lite,A0A074T061,disorder_prediction,5118,5138
mobidb-lite,A0A074T248,disorder_prediction,836,955
mobidb-lite,A0A074T902,disorder_prediction,1527,1546
mobidb-lite,A0A074TB92,disorder_prediction,477,506
PF00288,A0A074TDF8,GHMP kinase N-terminal domain,435,498
PF04114,A0A074TPT7,GPI transamidase component Gaa1,314,537
PF00667,A0A074YVQ2,FAD-binding type 1,1,75
PF03997,A0A074Z537,Vacuolar protein sorting-associated VPS28,165,337
PF03259,A0A074ZF37,Roadblock/LAMTOR2 domain,17,100
mobidb-lite,A0A074ZQU8,disorder_prediction,1408,1434
PF00169,A0A074ZXP4,Pleckstrin homology domain,216,296
mobidb-lite,A0A075A0K6,disorder_prediction,1,20
PF00090,A0A075A1L1,Thrombospondin type-1 (TSP1) repeat,3435,3486
CoiledCoil,A0A075A1S6,Uncharacterized protein (Fragment) OS=Opisthorchis viverrini GN=T265_12571 PE=4 SV=1,1080,1129
PF00004,A0A075A4A2,ATPase AAA-type core,545,657
mobidb-lite,A0A075A631,disorder_prediction,982,1019
PF01546,A0A075A990,Peptidase M20,89,175
mobidb-lite,A0A075ADH6,disorder_prediction,1147,1189
mobidb-lite,A0A075AHD3,disorder_prediction,18,44
PF00115,A0A075B9P2,Cytochrome c oxidase subunit I,2,220
PF04565,A0A075BDQ9,RNA polymerase Rpb2 domain 3,380,448
PF01084,A0A075BEG6,Ribosomal protein S18,54,102
PF03143,A0A075BJX3,Translation elongation factor EFTu/EF1A C-terminal,222,298
PF00115,A0A075CXE2,Cytochrome c oxidase subunit I,2,165
PF00510,A0A075D534,Cytochrome c oxidase-like subunit III,7,263
PF00115,A0A075EDD2,Cytochrome c oxidase subunit I,1,231
PF03547,A0A075IJB9,Membrane transport protein,57,105
PF01348,A0A075IPG5,Domain X,213,274
PF00243,A0A075Q4K6,Nerve growth factor-related,121,229
PF02790,A0A075QX38,Cytochrome C oxidase subunit II transmembrane domain,1,83
PF03089,A0A075TS06,V-D-J recombination activating protein 2,1,162
PF02823,A0A075VYV9,ATP synthase F1 complex delta/epsilon subunit N-terminal,3,82
PF00125,A0A076G405,Histone H2A/H2B/H3,2,110
PF00421,A0A076GY79,Photosystem antenna protein-like,1,393
PF00115,A0A076JNL6,Cytochrome c oxidase subunit I,2,219
PF00361,A0A076JS03,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,101,385
PF00022,A0A076KUX2,Actin family,1,184
PF00115,A0A076V9R4,Cytochrome c oxidase subunit I,2,219
PF01058,A0A077B3J7,NADH:ubiquinone oxidoreductase-like 20kDa subunit,25,109
PF00115,A0A077B9V8,Cytochrome c oxidase subunit I,4,228
PF04983,A0A077CZ66,RNA polymerase Rpb1 domain 3,316,475
PF07654,A0A077CZ96,Immunoglobulin C1-set,212,279
PF00129,A0A077D2A4,MHC class I-like antigen recognition-like,21,198
PF02787,A0A077D8A6,Carbamoyl-phosphate synthetase large subunit oligomerisation domain,69,190
PF02790,A0A077DEQ6,Cytochrome C oxidase subunit II transmembrane domain,1,83
PF00115,A0A077GV73,Cytochrome c oxidase subunit I,2,429
LowComplexity,A0A077RVL4,Uncharacterized protein OS=Triticum aestivum GN=TRAES_3BF056800110CFD_c1 PE=3 SV=1,4,17
PF12796,A0A077RVU7,Ankyrin repeat-containing domain,91,151
PF00560,A0A077RVW1,Leucine-rich repeat,89,109
mobidb-lite,A0A077RWP0,disorder_prediction,27,197
PF16879,A0A077WA01,Sin3 C-terminal,974,1170
mobidb-lite,A0A077WBU6,disorder_prediction,1,82
